Lisbon,LIS,Portugal,Europe,Western Europe,Industrialized,"38,733",-9.15,Lisbon,Portugal,2396000,56.3,56.3,27.0,29.2,1738.0,22.0,47.9,51.8,32,15,13,927,56.3,250,51.5,440,250,150,710,440,320,1640,1170,940,700,560,470,230,1720,89.3,0.47,Mar-19,Ford Mondeo 2.0,26100,37,31,15,210,340,55.9,180,47.3,04-Mar,05-Apr,19.0,16300,26-Jul,23,12500,40,22,9100,17-Sep,16,7700,40,22,8600,25-May,20,6900,40,22,6300,22-Mar,17,5200,40,22,10600,23.0,17,8800,40,22,12000,33.1,23,9300,40,22,24500,24-Jun,28,17600,40,22,30300,46.7,30,21200,35,22,28300,41.0,29,20100,35,22,9300,23-Sep,22,7300,35,22,6800,23-Jul,17,5600,35,22,6300,25-Feb,17,5200,40,22,1 PTE,0.0078,0.00469,PTE
London,LON,United Kingdom,Europe,Western Europe,Industrialized,"51,533",-0.083,London,United Kingdom,9170000,94.8,110.2,64.1,66.8,1833.0,22-Feb,67.6,70.4,18,6,8,1561,94.8,303,62.4,660,350,190,1070,660,390,4590,3680,2140,3680,2450,1230,1300,1710,88.6,Feb-22,11-Jan,Vauxhall Astra 1.8,20700,214,245,44,450,770,127.6,400,104.9,09-Aug,12-Aug,22-Aug,35800,58.9,26,26500,43,66,21900,43.1,23,16900,44,25,25300,75.1,24,19200,45,20,17300,61.1,21,13600,40,20,28900,62.6,24,21900,38,20,27400,75.8,25,20500,46,20,47000,47.3,28,33800,36,20,37400,57.6,26,27600,35,21,36600,52.9,26,27100,36,20,27600,70.6,25,20700,36,20,17700,61.8,21,14000,44,23,15600,62.6,20,12500,40,15,1 GBP,"254,428","153,134",GBP
Los Angeles,LAX,United States,Americas,North Am.,Industrialized,"34,054","-118,241",Los Angeles,United States,8863000,89.1,98.9,88.1,87.6,1939.0,12-Mar,98.9,98.3,11,18,8,1467,89.1,457,94.1,590,450,320,1160,620,520,2550,2200,1800,2000,1800,1350,1000,1510,78.5,Jan-35,14-Jun,Nissan Sentra 1.8,15200,330,115,40,270,490,80.7,320,85.9,12-Sep,17-Jun,26-Sep,43100,70.9,24,32700,38,15,36300,71.5,24,27600,40,10,39400,116.9,29,28000,40,10,32600,115.1,28,23400,40,15,43400,94.1,24,33000,40,10,40100,110.9,29,28400,40,20,67500,68.0,26,49900,40,15,63400,97.8,26,46900,40,15,35100,50.8,24,26700,40,15,33200,84.8,28,23900,40,15,26000,90.9,27,19000,40,10,23100,92.7,27,16800,40,10,1 USD,"166,148",1.0,USD
Luxembourg,LUX,Luxembourg,Europe,Western Europe,Industrialized,49.6,"6,117",Luxembourg,Luxembourg,76000,71.3,75.6,72.0,76.9,1790.0,29-Jun,100.9,107.8,15,11,14,1174,71.3,291,59.9,550,380,190,940,610,400,1890,1530,1180,1390,1000,790,750,1440,74.5,0.93,Dec-24,VW Golf 2.0,15100,69,47,26,270,470,78.0,280,73.8,11-Mar,14-Apr,20-Aug,44800,73.7,19,36300,40,99,34200,67.3,15,29000,40,25,19300,57.3,21,15300,40,25,16000,56.5,18,13100,40,27,29000,62.8,14,24900,40,27,28700,79.3,29,20300,40,25,72200,72.7,26,53400,40,27,46300,71.4,20,37100,40,25,45900,66.5,20,36700,40,34,35000,89.3,32,23800,40,25,17800,62.2,19,14400,40,26,19400,78.0,21,15300,40,25,1 LUF,0.03874,0.02332,LUF
Madrid,MAD,Spain,Europe,Western Europe,Industrialized,"40,433",-3.7,Madrid,Spain,4451000,55.5,73.5,37.1,41.5,1718.0,31-Mar,66.9,74.8,21,9,9,914,55.5,238,49.1,580,280,200,890,550,390,1700,1200,820,1130,730,510,540,1580,81.9,0.76,Mar-67,VW Golf TDI,18400,85,141,21,320,440,73.4,220,59.2,06-Jan,07-Apr,16-Jul,18400,30-Mar,22,14400,39,60,16700,32.9,20,13400,39,30,13500,40.0,19,10900,39,28,10300,36.3,15,8700,40,30,12700,27-May,16,10700,40,30,18200,50.4,21,14400,40,30,26900,27-Jan,26,19900,40,30,28500,43.9,27,20800,40,30,17100,24-Aug,21,13500,40,30,14200,36.3,19,11500,40,30,9400,32.9,13,8200,40,30,9000,36.3,13,7900,40,30,1 ESP,0.00939,0.00565,ESP
Manama (Bahrain),BAH,Bahrain,Asia,Middle East,Developing,"26,217","50,583",Manama,Bahrain,151000,70.6,77.6,26-Aug,34.1,2030.0,24-Jan,38.0,48.3,27,29,26,1162,70.6,388,79.9,560,360,250,840,660,480,3210,2090,1310,1640,1280,870,700,1720,89.1,0.13,Mar-61,Toyota Corolla 1.8,14700,53,80,30,210,380,62.2,250,66.1,5.0,05-Apr,05-Jun,14100,23-Feb,7,13100,40,58,9500,18-Jun,4,9100,43,23,6100,18-Feb,4,5900,46,19,3000,10-Jul,4,2900,54,19,17800,38.7,7,16600,40,25,28100,77.7,7,26100,48,23,54800,55.2,8,50400,40,28,32700,50.5,8,30100,44,24,16400,23-Aug,7,15300,39,25,13800,35.4,7,12900,40,20,7100,24-Aug,4,6800,46,23,3300,13-Apr,7,3100,40,25,1 BHD,"444,035","267,253",BHD
Manila,MNL,Philippines,Asia,East Asia,Developing,"14,583",120.95,Manila,Philippines,9880000,48.5,54.5,06-Mar,07-Apr,2164.0,19-Mar,13.0,15-Feb,75,52,46,799,48.5,216,44.6,280,130,60,570,280,120,3670,2710,2330,2870,1490,900,220,1560,80.8,0.3,Jan-44,Toyota Corolla GLi,14800,48,65,18,190,320,53.2,160,42.3,01-Jan,01-Mar,13-Mar,4500,07-Apr,14,3900,35,23,2500,04-Aug,10,2200,43,15,2300,06-Sep,14,2000,50,15,1800,06-May,13,1600,48,15,3200,7.0,11,2900,47,23,6200,17-Jan,19,5000,47,23,8700,08-Jul,20,6900,47,23,6300,09-Jun,17,5200,43,23,4100,6.0,13,3600,43,23,2500,06-Apr,14,2100,43,15,1800,06-Mar,13,1600,43,23,1900,07-Aug,13,1700,47,23,1 PHP,0.03976,0.02393,PHP
Mexico City,MEX,Mexico,Americas,North Am.,Developing,"19,433","-99,117",Mexico City,Mexico,20207000,62.2,62.8,10-Jun,13.0,2150.0,14-Feb,17.0,20-Aug,66,49,25,1024,62.2,268,55.1,560,380,200,1150,620,430,2610,1560,1250,1690,860,470,200,1680,87.4,0.16,Jan-67,Chrysler Neon,12700,344,107,24,260,410,68.7,250,66.0,01-Sep,02-Jan,8.0,4900,8.0,8,4500,33,46,4200,08-Feb,7,3900,44,11,4200,12-Jun,7,3900,48,13,1700,05-Sep,3,1600,44,11,4400,09-May,7,4100,44,13,6900,19.0,14,5900,44,13,9000,09-Jan,16,7600,44,13,12100,18-Jul,17,10100,44,13,7700,11-Jan,15,6500,44,15,7200,18-Apr,14,6200,44,13,4600,16-Jan,8,4200,44,13,2800,11-Apr,6,2700,48,11,1 MXN,0.1732,0.10425,MXN
Milan,MIL,Italy,Europe,Western Europe,Industrialized,45.45,"9,167",Milan,Italy,4738000,66.8,71.6,46.5,41.9,1732.0,22-Aug,69.5,62.7,21,22,22,1100,66.8,322,66.3,640,360,220,960,620,390,1820,1190,730,1260,810,610,590,1380,71.4,0.73,Aug-35,Fiat Marea 115,16800,201,48,29,230,410,68.4,240,63.2,06-Feb,09-Mar,33.4,18500,30-May,32,12600,24,32,22300,43.8,35,14500,36,20,15400,45.7,34,10200,44,20,12900,45.6,33,8600,40,20,16300,35.3,31,11200,40,20,21200,58.7,36,13600,40,30,25700,25-Aug,38,15900,40,20,33100,51.1,40,19900,40,25,26800,38.8,38,16600,39,25,14500,37.1,34,9600,36,20,13800,48.2,33,9200,40,30,13700,54.9,33,9200,36,20,1 ITL,8.0E-4,4.8E-4,ITL
Montreal,YMQ,Canada,Americas,North Am.,Industrialized,"45,509","-73,554",Montreal,Canada,2896000,74.4,71.4,75.4,65.9,1814.0,19.0,101.3,88.6,14,12,9,1224,74.4,295,60.7,670,390,190,920,630,420,1430,990,720,610,480,360,440,1940,100.7,Jan-36,Jul-49,Chevrolet Malibu,18600,204,48,26,180,380,62.8,290,75.6,09-Jul,15.0,34.9,35100,57.8,37,22100,37,60,32900,64.8,36,21000,35,21,31000,91.8,39,18900,40,15,25200,89.0,34,16600,40,15,31400,68.1,36,20100,40,15,34300,95.1,40,20600,40,21,47900,48.3,42,27800,38,21,48000,74.0,42,27800,37,21,32500,47.1,36,20800,37,21,26300,67.1,35,17100,38,15,18900,66.3,31,13100,39,21,20700,83.1,32,14100,40,15,1 CAD,"113,185",0.68123,CAD
Moscow,MOW,Russia,Europe,Eastern Europe,Transition,55.75,37.6,Moscow,Russia,10367000,59.1,65.7,05-Mar,05-Sep,1824.0,21-Apr,08-Sep,09-Sep,74,25,152,973,59.1,176,36.2,780,400,180,960,510,260,7880,3030,1820,3570,1510,1210,250,2400,124.8,0.14,Mar-21,Volga 3110,4500,81,102,52,320,500,83.4,230,62.1,0.9,01-Jan,13-Apr,400,0.7,13,400,30,48,2600,05-Jan,13,2200,40,20,3600,10-Jun,13,3100,40,20,900,3.0,13,700,40,20,500,01-Jan,13,400,40,20,3200,08-Sep,13,2800,40,20,2100,02-Feb,13,1900,40,20,1900,3.0,13,1700,40,20,28300,40.9,31,19500,40,20,1200,03-Jan,13,1100,40,20,1000,03-Jun,13,900,40,20,900,03-Apr,13,700,40,20,1 RUB,0.05923,0.03565,RUB
Mumbai (Bombay),BOM,India,Asia,South Asia,Developing,19.0,72.8,Bombay,India,11777000,37.4,37.9,04-Sep,05-Jul,2097.0,24-Feb,13.0,15-Feb,105,34,79,615,37.4,125,25-Jul,190,120,60,540,350,250,2850,910,680,910,460,310,230,1360,70.4,0.13,0.97,Honda City 1.5 EXi,19200,NaN,434,11,330,400,66.8,110,30-Apr,0.8,1.0,13.0,1700,02-Aug,12,1500,35,63,1700,03-Mar,12,1500,48,18,1500,04-May,13,1300,46,23,1100,03-Sep,9,1000,54,15,2400,05-Feb,14,2000,48,23,3100,08-May,16,2600,54,20,10200,10-Mar,25,7700,41,30,4700,07-Mar,19,3800,41,30,2400,03-May,14,2100,43,25,2500,06-Apr,15,2100,41,30,1900,06-May,14,1600,48,23,1500,05-Sep,12,1300,48,23,1 INR,0.03784,0.02277,INR
Nairobi,NBO,Kenya,Africa,Centra Africa,Developing,"-1,283","36,817",Nairobi,Kenya,1104000,54.3,53.9,03-Mar,03-Sep,2164.0,28.0,6.0,07-Jan,178,64,109,894,54.3,176,36.2,350,210,100,710,450,260,1800,1510,1120,530,350,200,130,2340,121.6,0.33,Jun-56,504 Saloon,17700,12,53,11,250,400,65.9,150,38.9,0.6,0.7,11-Jul,1200,2.0,11,1100,43,63,1100,02-Feb,11,1000,56,26,1500,04-Jun,13,1300,51,26,300,01-Jan,9,280,48,23,1500,03-Feb,12,1300,48,28,5200,14-Apr,18,4300,50,28,3500,03-May,15,3000,43,28,2900,04-Apr,14,2500,48,28,2700,03-Aug,14,2300,43,26,2400,06-Feb,14,2100,43,26,600,01-Sep,10,500,48,28,700,02-Aug,11,600,48,26,1 KES,0.02181,0.01313,KES
New York,NYC,United States,Americas,North Am.,Industrialized,"40,752","-73,994",New York,United States,14622000,103.8,118.6,100.2,97.2,1882.0,13-Mar,96.5,93.6,12,15,9,1709,103.8,460,94.6,1050,690,400,1880,1190,730,7250,4500,3050,4680,2200,1750,1350,1980,102.8,01-May,10.0,Ford Taurus,20600,45,75,49,430,680,112.1,430,114.7,14-Mar,20.0,28-Sep,54900,90.4,29,39000,31,28,35100,69.1,23,27000,40,19,44700,132.7,33,30000,40,14,35100,124.3,30,24600,40,0,46300,100.5,27,33800,40,14,46700,129.2,34,30800,40,14,85200,85.8,35,55400,40,19,63100,97.3,31,43600,40,17,39400,57.0,25,29500,38,19,37400,95.6,31,25800,39,18,29600,103.7,28,21300,40,14,25900,104.0,25,19400,40,12,1 USD,"166,148",1.0,USD
Nicosia,NIC,Cyprus,Asia,Middle East,Developing,"35,183","33,383",Nicosia,Cyprus,166000,57.0,56.4,40.0,45.3,1760.0,17-May,70.3,79.6,27,10,17,938,57.0,253,52.1,350,240,150,520,380,270,770,630,490,630,470,340,430,2070,107.4,0.9,Feb-86,Mazda 323,13000,293,41,17,290,400,66.7,200,52.2,06-Jul,8.0,15-Feb,26700,43.9,21,21100,33,50,13700,27-Jan,13,12000,40,18,13800,40.9,17,11400,39,15,12400,43.8,15,10500,38,15,15600,33.9,14,13400,38,15,17700,48.9,20,14100,38,20,33200,33.4,29,23600,38,15,33000,50.9,29,23400,38,26,19000,27-Jun,16,16000,38,21,14500,37.0,17,12000,38,15,8300,29.2,12,7300,40,16,8500,34.1,12,7500,38,15,1 CYP,Feb-72,"16,371",CYP
Oslo,OSL,Norway,Europe,Western Europe,Industrialized,"59,917",Oct-75,Oslo,Norway,720000,105.0,103.3,76.4,68.0,1730.0,21-Aug,72.8,64.7,21,14,15,1728,105.0,405,83.4,970,550,220,1270,860,340,1610,1260,980,1230,920,690,630,1710,88.8,Feb-29,Nov-59,Ford Mondeo 1.8,25200,230,172,33,210,500,82.2,440,116.2,10.0,15-Feb,34.5,29400,48.4,33,19700,39,37,25500,50.2,33,17100,38,21,24400,72.5,35,15900,38,21,26400,93.4,36,16900,38,21,32400,70.2,33,21700,38,21,24800,68.6,35,16100,36,21,56400,56.8,38,35000,39,21,40900,63.1,38,25400,37,21,33200,48.1,34,21900,37,21,25800,65.9,35,16800,38,21,23500,82.3,34,15500,37,21,22500,90.4,34,14800,38,21,1 NOK,0.19065,0.11475,NOK
Panama,PTY,Panama,Americas,Central Am. & Carib.,Developing,Aug-95,"-79,533",Panama City,Panama,625000,65.1,90.9,17-Mar,20-Feb,2121.0,27-Mar,26-Jul,31-Jan,41,32,15,1071,65.1,267,54.9,860,530,280,1600,860,400,4480,3000,1830,2800,1600,860,610,1680,87.4,0.81,Mar-82,Toyota Corolla 1.6,15600,37,31,41,200,400,66.9,250,66.5,3.0,03-May,12-Jan,6200,10-Jan,12,5400,40,61,9800,19-Mar,14,8400,48,25,6100,18-Feb,12,5400,46,25,4700,16-Apr,10,4200,46,25,5800,12-May,12,5100,46,25,18900,52.4,19,15300,48,25,24800,25.0,21,19600,46,25,20100,31-Jan,19,16300,46,25,26800,38.9,22,20900,44,25,9900,25-Apr,14,8500,46,25,4200,14-May,10,3700,48,25,4500,18.0,10,4000,46,25,1 PAB,"169,073","10,176",PAB
Paris,PAR,France,Europe,Western Europe,Industrialized,48.8,"2,333",Paris,France,8709000,81.6,85.4,57.0,57.8,1587.0,28-Mar,69.9,70.9,19,17,20,1343,81.6,354,73.0,760,430,290,1090,700,490,2150,1720,1220,1410,980,770,790,1580,81.8,Jan-15,Jul-89,Renault Laguna 1.8,18600,72,93,25,390,640,105.9,320,85.5,08-May,11-Apr,24-May,20100,33.0,24,15200,35,72,19800,39.1,24,15100,35,27,15300,45.5,24,11700,35,25,13000,45.9,21,10300,35,27,18200,39.4,23,14000,35,27,31200,86.4,33,20900,39,25,57300,57.7,34,37800,38,27,45800,70.6,31,31600,38,25,43300,62.7,30,30300,35,25,20400,52.1,28,14700,35,25,16200,56.6,26,12000,35,25,12800,51.5,21,10100,35,27,1 FRF,0.2383,0.14343,FRF
Rio de Janeiro,RIO,Brazil,Americas,South America,Developing,-22.95,-43.2,Rio de Janeiro,Brazil,11428000,62.0,72.4,17-Mar,20.0,1912.0,26-Jan,27-Sep,32.3,45,52,13,1021,62.0,252,51.9,330,240,160,580,400,280,3050,2360,1800,2000,1530,1220,750,1360,70.4,0.55,Jun-93,GM Vectra 2.2,19400,971,169,24,280,440,72.7,280,74.9,02-Sep,03-Apr,11-Aug,4100,06-Jul,9,3700,30,48,4300,08-Apr,9,3900,48,25,5800,17-Mar,11,5200,44,25,2700,09-Apr,8,2500,48,25,10300,22-Mar,16,8600,40,25,6000,16-Jun,12,5300,40,25,29500,29-Jul,29,21000,40,25,20700,31.9,24,15700,40,25,8600,12-May,14,7400,40,25,11600,29-Jul,20,9300,40,25,4100,14-Mar,9,3700,42,25,4400,17-Jul,9,4000,40,25,1 BRL,0.92165,0.55472,BRL
Santiago de Chile,SCL,Chile,Americas,South America,Developing,"-33,467",-70.75,Santiago,Chile,5275000,54.0,53.7,18-Jun,20-Apr,2244.0,17.0,34.5,37.7,62,19,25,889,54.0,219,45.0,380,260,160,720,450,350,1230,710,510,600,370,310,310,1380,71.5,0.5,Mar-67,Chevrolet Astra 1.8,11900,172,145,21,240,370,61.7,230,61.9,3.0,03-Jul,18-Aug,7800,12-Aug,18,6400,48,48,4700,09-Apr,16,4000,52,18,7800,23.0,18,6400,48,15,3600,12-Jun,18,2900,48,15,8700,18-Aug,18,7100,48,15,13100,36.4,21,10400,48,18,18600,18-Jul,21,14700,48,15,23000,35.5,24,17500,47,15,20800,30-Jan,22,16200,48,17,11500,29-Apr,20,9200,48,15,11100,38.8,20,8900,48,15,3900,15-May,18,3200,48,15,1 CLP,0.00318,0.00192,CLP
Sao Paulo,SAO,Brazil,Americas,South America,Developing,"-23,517","-46,517",Sao Paulo,Brazil,18052000,59.2,62.8,18-May,21-Feb,1949.0,26-Jul,31.2,35.8,36,27,11,975,59.2,241,49.7,340,190,110,430,310,180,2350,1650,960,1220,830,530,420,1420,73.7,0.64,Apr-85,GM Vectra 2.2,19700,732,175,26,260,440,73.0,240,63.4,03-Jan,03-Jul,12-Jun,4300,07-Jan,9,3900,30,40,5300,10-May,11,4800,44,26,5700,17.0,11,5100,44,26,2800,09-Jul,8,2500,44,26,11300,24-May,16,9500,44,26,7700,21-Apr,13,6700,44,26,36300,36.6,30,25400,41,26,21100,32.6,25,15900,42,26,10200,14-Aug,15,8700,35,26,12600,32.2,21,10000,42,26,5700,19-Sep,11,5000,44,26,4200,16-Sep,10,3800,44,26,1 BRL,0.92165,0.55472,BRL
Seoul,SEL,South Korea,Asia,East Asia,Industrialized,"37,567",127.0,Seoul,Korea South,16268000,97.3,106.3,43.7,44.2,2073.0,21-Sep,44.9,45.4,25,25,22,1601,97.3,594,122.4,900,560,250,1250,760,470,4710,3030,2350,2440,1580,1180,1000,2200,114.3,0.45,Mar-72,Hyundai Sonata 2.0,10900,525,90,37,290,520,85.5,320,84.1,06-May,08-Jul,25.0,25000,41.2,27,18300,54,18,21400,42.2,26,15800,46,28,18700,55.3,26,13800,50,23,13100,46.4,24,10000,45,20,25000,54.3,27,18300,50,19,21200,58.8,26,15700,46,25,44900,45.2,29,31800,46,24,29000,44.7,28,20900,51,23,26500,38.3,27,19300,50,19,20500,52.4,26,15200,45,18,14700,51.5,24,11200,45,26,11100,44.5,22,8600,47,21,1 KRW,0.0015,9.0E-4,KRW
Shanghai,SHA,China,Asia,East Asia,Developing,"31,167","121,467",Shanghai,China,6873000,86.3,89.8,08-May,08-Aug,1983.0,16.0,09-Aug,10-Feb,55,103,47,1421,86.3,372,76.6,580,300,150,1110,580,310,4870,2920,1460,1950,1460,970,300,2370,123.2,0.49,Feb-43,VW Santana 2.0,24300,219,37,30,300,630,103.8,230,60.8,01-Mar,01-Jul,21-Aug,2900,04-Aug,21,2300,40,90,3000,05-Sep,22,2300,40,15,3500,10-Apr,23,2700,40,10,1900,06-Jun,19,1500,40,10,3200,06-Sep,22,2500,40,10,4800,13-Mar,24,3700,40,15,12300,12-Apr,29,8700,40,15,7000,10-Jul,26,5200,40,15,5800,08-Apr,25,4300,40,15,5300,13-Jun,25,4000,40,15,3300,11-Jun,23,2600,40,15,1600,06-May,18,1300,42,10,1 CNY,0.20222,0.12171,CNY
Singapore,SIN,Singapore,Asia,East Asia,Industrialized,"1,233","103,917",Singapore,Singapore,2695000,98.1,122.2,32.8,35.4,1988.0,18-May,33.4,36.1,22,31,14,1615,98.1,442,90.9,690,340,160,1090,690,420,7610,5560,2930,3510,2340,1320,1460,1620,84.0,0.88,Mar-51,Proton Perdona 2.0,65500,1338,176,32,280,520,85.8,290,77.9,05-Feb,06-May,20-Mar,20000,32.9,21,15800,50,21,14000,27-May,20,11200,42,18,11200,33.2,20,9000,42,18,6400,22-Jul,20,5100,42,18,20000,43.3,21,15800,42,18,13400,37.0,20,10700,42,18,37100,37.4,24,28200,42,21,31200,48.0,22,24300,42,18,15900,23-Jan,20,12700,42,18,16400,41.8,21,12900,42,21,11500,40.2,20,9200,42,18,8700,34.8,20,6900,42,18,1 SGD,0.97297,0.5856,SGD
Stockholm,STO,Sweden,Europe,Western Europe,Industrialized,"59,333",18-May,Stockholm,Sweden,1435000,99.3,96.5,65.3,59.7,1860.0,27-Aug,65.7,60.1,19,18,23,1634,99.3,370,76.2,800,510,240,1320,730,340,1480,940,650,860,600,470,570,2230,115.6,Jan-82,Oct-25,Saab 9.3 S,20600,159,177,37,290,570,94.5,420,110.6,08-Aug,13.0,32.3,26000,42.7,31,17900,40,54,24000,47.2,30,16800,39,25,23600,70.0,32,16100,40,26,25900,91.4,34,17100,40,26,28600,61.9,34,18800,40,26,24400,67.4,33,16300,40,26,52300,52.7,44,29300,40,26,41600,64.2,40,25000,40,26,26600,38.5,32,18100,39,26,22900,58.6,32,15600,40,26,21200,74.1,31,14600,40,26,19700,79.3,31,13600,40,26,1 SEK,0.18923,0.11389,SEK
Sydney,SYD,Australia,Oceania,Oceania,Industrialized,-34.0,151.0,Sydney,Australia,3431000,70.9,79.1,51.0,53.2,1749.0,21-Apr,72.0,75.0,13,13,7,1166,70.9,283,58.4,740,360,150,1460,660,380,3460,2260,1310,1670,1010,600,830,2100,108.9,Jan-49,Apr-86,Toyota Camry,14900,208,119,27,250,420,69.7,290,77.3,07-Aug,10-Feb,22-Apr,27300,44.9,29,19400,38,48,18000,35.4,23,13900,38,20,17000,50.6,22,13300,38,20,17500,62.0,23,13500,38,20,18600,40.3,23,14300,38,20,17600,48.7,23,13600,38,20,38600,38.9,35,25100,38,20,32600,50.3,33,21900,38,20,19800,28-Jun,24,15000,38,20,21000,53.6,25,15700,38,20,14600,51.1,19,11800,38,20,12600,50.7,19,10200,38,20,1 AUD,0.98975,0.59571,AUD
Taipei,TPE,Taiwan,Asia,East Asia,Industrialized,25-May,121.5,Taipei,Taiwan,6513000,91.1,99.2,41.1,47.0,2176.0,11-Sep,45.2,51.6,20,22,12,1499,91.1,487,100.2,810,510,200,1620,1000,480,3780,2270,1380,2200,1440,930,960,2010,104.4,0.82,Apr-91,Toyota Corona 1.6,19700,426,49,34,210,410,68.4,300,80.1,06-Sep,08-Feb,15-Jul,19700,32.5,16,16600,44,38,22300,44.0,16,18800,52,10,20500,60.8,16,17300,46,10,17200,60.9,16,14500,48,10,19700,42.8,16,16700,44,10,20700,57.3,16,17500,46,10,34200,34.5,24,26200,44,12,25400,39.1,16,21400,44,10,22400,32.4,16,18900,44,12,17400,44.5,16,14700,44,10,14000,49.0,16,11800,46,10,14100,56.5,16,11900,44,10,1 TWD,0.05443,0.03276,TWD
Tel Aviv,TLV,Israel,Asia,Middle East,Developing,"32,083","34,767",Tel Aviv,Israel,1555000,80.8,82.3,43.9,45.6,1991.0,16-Jun,54.3,56.4,42,16,13,1331,80.8,340,70.0,400,250,110,680,470,270,1490,860,670,920,640,500,720,2830,146.8,Jan-16,Jul-76,Mazda 323 1.8,26300,253,76,26,220,390,63.8,340,89.3,06-Jul,08-Aug,20-Jul,14100,23-Feb,12,12400,40,55,22400,44.1,28,16100,40,16,20500,60.9,27,15000,45,14,15200,53.7,23,11700,42,12,27400,59.4,30,19200,45,22,30300,83.9,32,20600,40,22,56600,57.0,36,36200,45,28,31800,49.1,33,21300,45,16,19900,28-Aug,27,14500,39,22,16300,41.7,22,12700,48,12,10400,36.3,11,9200,36,12,9500,38.4,10,8600,41,12,1 ILS,0.40904,0.24619,ILS
Tokyo,TYO,Japan,Asia,East Asia,Industrialized,"35,667",139.75,Tokyo,Japan,26952000,140.1,150.6,109.4,120.8,1864.0,20-May,78.1,86.2,9,14,15,2305,140.1,797,164.1,1810,760,290,1880,1050,640,5870,3530,2990,3060,2160,1080,1690,2460,127.7,Jan-79,14-Jan,Toyota Prius,20500,21,188,66,400,770,127.1,520,138.0,17-Aug,21-Aug,19-Feb,47900,78.8,13,41700,43,20,46800,92.2,13,40700,43,20,37900,112.5,22,29600,41,20,34300,121.3,20,27400,43,20,55100,119.4,14,47400,40,20,46300,128.0,24,35200,44,20,86100,86.7,17,71400,40,20,58700,90.5,14,50500,41,20,75800,109.8,16,63700,40,20,38300,97.9,22,29900,38,20,32800,114.7,20,26200,40,20,33100,133.2,20,26500,39,20,1 JPY,0.01562,0.0094,JPY
Toronto,YTO,Canada,Americas,North Am.,Industrialized,"43,653","-79,383",Toronto,Canada,3108000,74.9,77.6,64.0,61.0,1967.0,11-Jul,85.5,81.5,13,10,11,1233,74.9,299,61.6,650,310,130,1300,850,520,2380,1700,1020,1330,820,540,680,1830,95.1,Jan-36,May-45,Ford Taurus,20200,61,58,30,200,390,64.8,290,77.2,9.0,12-Aug,28-Aug,34700,57.1,33,23200,43,30,26600,52.4,29,18900,40,18,29900,88.6,33,20000,40,10,21500,76.1,27,15700,45,5,36800,79.8,33,24700,43,15,29400,81.4,33,19700,40,10,48700,49.1,38,30200,43,15,37300,57.5,33,25000,40,18,25800,37.4,28,18600,39,18,22100,56.5,28,15900,39,13,16500,57.8,24,12600,39,10,19300,77.6,26,14300,40,10,1 CAD,"113,185",0.68123,CAD
Vienna,VIE,Austria,Europe,Western Europe,Industrialized,"48,233","16,333",Vienna,Austria,2313000,80.7,82.0,63.7,61.0,1699.0,27-Apr,79.0,75.6,16,13,11,1328,80.7,334,68.7,770,390,190,1030,630,380,2020,1640,1330,1020,820,680,580,1800,93.5,01-Mar,Sep-29,VW Golf TDI,16400,292,171,21,270,520,85.9,290,76.7,9.0,12-Jul,28-Mar,24500,40.3,27,17900,44,73,24800,48.8,30,17400,38,25,20400,60.4,28,14700,38,25,17300,61.1,26,12800,38,25,28900,62.6,33,19300,38,25,27300,75.5,34,18000,38,25,58100,58.5,41,34300,38,25,47500,73.2,39,29000,38,25,35100,50.8,37,22100,38,25,23500,60.0,31,16200,38,25,16700,58.4,25,12500,38,25,14900,60.0,24,11400,38,25,1 ATS,0.11352,0.06833,ATS
Warsaw,WAW,Poland,Europe,Eastern Europe,Transition,52.25,21.0,Warsaw,Poland,1649000,47.8,51.0,11.0,09-Feb,1870.0,27-Jan,23-Jan,19-Mar,54,21,23,787,47.8,155,32.0,440,200,90,570,360,190,1870,1330,790,1080,1060,530,460,1370,71.3,0.55,Mar-71,Opel Astra 1.8,16200,0,18,19,340,490,81.4,170,45.0,01-Apr,02-Feb,38.2,3700,06-Jan,38,2300,26,48,4400,08-Jul,38,2700,48,26,4300,12-Jul,38,2700,40,26,3700,13.0,38,2300,46,26,5100,11-Jan,38,3200,42,26,5900,16-Feb,38,3600,51,26,9900,10.0,49,5000,42,26,8400,13.0,49,4300,42,26,6500,09-Apr,38,4000,41,26,4400,11-Mar,38,2700,42,26,3000,10-Mar,38,1800,40,26,2700,10-Aug,38,1700,41,26,1 PLN,0.37975,0.22856,PLN
Zurich,ZRH,Switzerland,Europe,Western Europe,Industrialized,"47,367","8,517",Zurich,Switzerland,835000,100.0,100.0,100.0,100.0,1868.0,24-Jul,100.0,100.0,15,10,7,1646,100.0,486,100.0,660,420,270,1180,780,540,2290,1750,1140,1630,1140,840,770,1930,100.0,Feb-17,13.24,VW Golf 2.0,17300,197,150,31,310,600,100.0,380,100.0,14-Jul,20.0,26-Jan,60800,100.0,27,44500,46,65,50800,100.0,26,37700,42,26,33700,100.0,27,24800,42,20,28300,100.0,26,21000,40,20,46100,100.0,25,34500,40,25,36100,100.0,27,26500,41,25,99300,100.0,31,68100,40,30,64800,100.0,27,47200,40,25,69100,100.0,28,49900,41,23,39100,100.0,27,28500,41,23,28600,100.0,26,21200,41,25,24900,100.0,26,18500,41,20,1 CHF,1.0,0.60187,CHF
