Month, Year, Value, Category
April, 1854, 5, Other
April, 1854, 1, Zymotic
May, 1854, 9, Other
May, 1854, 12, Zymotic
June, 1854, 11, Zymotic
June, 1854, 6, Other
July, 1854, 359, Zymotic
July, 1854, 23, Other
August, 1854, 828, Zymotic
August, 1854, 30, Other
August, 1854, 1, Wounds
September, 1854, 788, Zymotic
September, 1854, 70, Other
September, 1854, 81, Wounds
October, 1854, 503, Zymotic
October, 1854, 128, Other
October, 1854, 132, Wounds
November, 1854, 844, Zymotic
November, 1854, 106, Other
November, 1854, 287, Wounds
December, 1854, 1725, Zymotic
December, 1854, 131, Other
December, 1854, 114, Wounds
January, 1854, 2761, Zymotic
January, 1854, 83, Wounds
January, 1854, 324, Other
February, 1855, 2120, Zymotic
February, 1855, 42, Wounds
February, 1855, 361, Other
March, 1855, 1205, Zymotic
March, 1855, 32, Wounds
March, 1855, 172, Other